Date : 2020-12-10 17:43:17
Directory : c:\Repos\rayex\include
Total : 553 files,  100227 codes, 39641 comments, 20303 blanks, all 160171 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Repos\rayex\include\external\sdl2\SDL_surface.h                         | C++      |        133 |        368 |         54 |        555 |
| c:\Repos\rayex\include\external\sdl2\SDL_system.h                          | C++      |         75 |        188 |         54 |        317 |
| c:\Repos\rayex\include\external\sdl2\SDL_syswm.h                           | C++      |        222 |         78 |         32 |        332 |
| c:\Repos\rayex\include\external\sdl2\SDL_test.h                            | C++      |         25 |         35 |         10 |         70 |
| c:\Repos\rayex\include\external\sdl2\SDL_test_assert.h                     | C++      |         19 |         70 |         17 |        106 |
| c:\Repos\rayex\include\external\sdl2\SDL_test_common.h                     | C++      |         86 |        106 |         27 |        219 |
| c:\Repos\rayex\include\external\sdl2\SDL_test_compare.h                    | C++      |         14 |         44 |         12 |         70 |
| c:\Repos\rayex\include\external\sdl2\SDL_test_crc32.h                      | C++      |         31 |         71 |         23 |        125 |
| c:\Repos\rayex\include\external\sdl2\SDL_test_font.h                       | C++      |         15 |         54 |         13 |         82 |
| c:\Repos\rayex\include\external\sdl2\SDL_test_fuzzer.h                     | C++      |         37 |        300 |         48 |        385 |
| c:\Repos\rayex\include\external\sdl2\SDL_test_harness.h                    | C++      |         39 |         75 |         21 |        135 |
| c:\Repos\rayex\include\external\sdl2\SDL_test_images.h                     | C++      |         29 |         39 |         11 |         79 |
| c:\Repos\rayex\include\external\sdl2\SDL_test_log.h                        | C++      |         13 |         45 |         10 |         68 |
| c:\Repos\rayex\include\external\sdl2\SDL_test_md5.h                        | C++      |         22 |         87 |         21 |        130 |
| c:\Repos\rayex\include\external\sdl2\SDL_test_memory.h                     | C++      |         13 |         40 |         11 |         64 |
| c:\Repos\rayex\include\external\sdl2\SDL_test_random.h                     | C++      |         23 |         75 |         18 |        116 |
| c:\Repos\rayex\include\external\sdl2\SDL_thread.h                          | C++      |        104 |        217 |         41 |        362 |
| c:\Repos\rayex\include\external\sdl2\SDL_timer.h                           | C++      |         24 |         74 |         18 |        116 |
| c:\Repos\rayex\include\external\sdl2\SDL_touch.h                           | C++      |         37 |         46 |         20 |        103 |
| c:\Repos\rayex\include\external\sdl2\SDL_types.h                           | C++      |          1 |         26 |          3 |         30 |
| c:\Repos\rayex\include\external\sdl2\SDL_version.h                         | C++      |         36 |        109 |         18 |        163 |
| c:\Repos\rayex\include\external\sdl2\SDL_video.h                           | C++      |        284 |        878 |        114 |      1,276 |
| c:\Repos\rayex\include\external\sdl2\SDL_vulkan.h                          | C++      |         41 |        218 |         20 |        279 |
| c:\Repos\rayex\include\external\sdl2\begin_code.h                          | C++      |        120 |         38 |         13 |        171 |
| c:\Repos\rayex\include\external\sdl2\close_code.h                          | C++      |         10 |         27 |          4 |         41 |
| c:\Repos\rayex\include\external\stb\stb_image.h                            | C++      |      5,616 |      1,211 |        830 |      7,657 |
| c:\Repos\rayex\include\external\stb\stb_image_write.h                      | C++      |      1,792 |        302 |        158 |      2,252 |
| c:\Repos\rayex\include\external\tinyLogger\TinyLogger.hpp                  | C++      |        178 |         25 |         48 |        251 |
| c:\Repos\rayex\include\external\tinyObj\tiny_obj_loader.h                  | C++      |      2,108 |        453 |        452 |      3,013 |
| c:\Repos\rayex\include\pch\stdafx.hpp                                      | C++      |         34 |          1 |          4 |         39 |
| Total                                                                      |          |    100,227 |     39,641 |     20,303 |    160,171 |
+----------------------------------------------------------------------------+----------+------------+------------+------------+------------+
