"filename", "language", "C++", "comment", "blank", "total"
"c:\Repos\renderer\src\api\raytracing\TopLevelAS.cpp", "C++", 70, 4, 17, 91
"c:\Repos\renderer\src\api\raytracing\TopLevelAS.hpp", "C++", 26, 1, 8, 35
"c:\Repos\renderer\src\api\sync\Fence.cpp", "C++", 35, 0, 9, 44
"c:\Repos\renderer\src\api\sync\Fence.hpp", "C++", 26, 0, 9, 35
"c:\Repos\renderer\src\api\sync\Semaphore.cpp", "C++", 34, 0, 8, 42
"c:\Repos\renderer\src\api\sync\Semaphore.hpp", "C++", 26, 0, 8, 34
"c:\Repos\renderer\src\base\Base.hpp", "C++", 7, 14, 3, 24
"c:\Repos\renderer\src\base\CameraBase.hpp", "C++", 34, 0, 10, 44
"c:\Repos\renderer\src\base\NodeBase.hpp", "C++", 41, 1, 12, 54
"c:\Repos\renderer\src\example\main.cpp", "C++", 276, 15, 69, 360
"c:\Repos\renderer\src\pch\stdafx.cpp", "C++", 1, 0, 1, 2
"c:\Repos\renderer\src\pch\stdafx.hpp", "C++", 29, 0, 5, 34
"c:\Repos\renderer\src\utils\Core.hpp", "C++", 16, 0, 2, 18
"c:\Repos\renderer\src\utils\Utility.cpp", "C++", 8, 0, 1, 9
"c:\Repos\renderer\src\utils\Utility.hpp", "C++", 47, 1, 16, 64
"c:\Repos\renderer\src\window\Time.cpp", "C++", 46, 2, 15, 63
"c:\Repos\renderer\src\window\Time.hpp", "C++", 23, 0, 8, 31
"c:\Repos\renderer\src\window\WindowBase.cpp", "C++", 113, 2, 35, 150
"c:\Repos\renderer\src\window\WindowBase.hpp", "C++", 35, 1, 15, 51
"c:\Repos\renderer\src\window\WindowProperties.cpp", "C++", 26, 0, 4, 30
"c:\Repos\renderer\src\window\WindowProperties.hpp", "C++", 42, 0, 11, 53
"Total", "-", 5661, 277, 1449, 7387
